NA	n271011
NONMMUT037756.2	n271049
NONMMUT002092.2	n271076
NONMMUT057841.2	n271077
NA	n271081
NA	n271091
NONMMUT025754.2	n271131
NONMMUT015151.2	n271140
NONMMUT023308.2	n271162
NONMMUT031930.2	n271192
NONMMUT065568.2	n271254
NA	n271260
NONMMUT027216.2	n271269
NONMMUT000671.2	n271270
NONMMUT047279.2	n271273
NA	n271277
NONMMUT057496.2	n271283
NONMMUT022964.2	n271302
NONMMUT032101.2	n271316
NONMMUT016414.2	n271347
NONMMUT034917.2	n271352
NONMMUT046332.2	n271364
NONMMUT056318.2	n271375
NONMMUT003705.2	n271388
NONMMUT074497.2	n271402
NONMMUT057492.2	n271408
NONMMUT045300.2	n271449
NONMMUT054740.2	n271454
NONMMUT029039.2	n271459
NA	n271462
NONMMUT043274.2	n271471
NONMMUT003704.2	n271477
NONMMUT074507.2	n271481
NA	n271489
NONMMUT035235.2	n271495
NA	n271498
NONMMUT043450.2	n271506
NA	n271540
NONMMUT056256.2	n271568
NA	n271569
NONMMUT042369.2	n271601
NONMMUT009193.2	n271624
NONMMUT022372.2	n271637
NONMMUT034315.2	n271643
NONMMUT045893.2	n271644
NONMMUT022945.2	n271659
NONMMUT008715.2	n271671
NONMMUT017844.2	n271681
NONMMUT023456.2	n271683
NONMMUT018488.2	n271684
NONMMUT015470.2	n271730
NONMMUT061867.2	n271742
NONMMUT052275.2	n271748
NONMMUT011563.2	n271769
NONMMUT056014.2	n271776
NA	n271812
NONMMUT017798.2	n271815
NONMMUT010613.2	n271826
NONMMUT057491.2	n271828
NONMMUT048156.2	n271843
NONMMUT037935.2	n271858
NONMMUT030630.2	n271859
NONMMUT023885.2	n271869
NONMMUT018651.2	n271880
NA	n271881
NONMMUT047775.2	n271888
NA	n271907
NONMMUT039120.2	n271916
NONMMUT010805.2	n271918
NONMMUT004072.2	n271929
NONMMUT048085.2	n271944
NA	n271949
NONMMUT031986.2	n271961
NONMMUT024298.2	n271968
NONMMUT034025.2	n271973
NONMMUT027497.2	n272000
NONMMUT031004.2	n272004
NONMMUT007562.2	n272014
NONMMUT025116.2	n272021
NONMMUT026803.2	n272030
NONMMUT005543.2	n272072
NONMMUT012800.2	n272083
NONMMUT050893.2	n272087
NONMMUT038546.2	n272095
NONMMUT001927.2	n272098
NA	n272107
NONMMUT049418.2	n272113
NONMMUT062320.2	n272119
NONMMUT010769.2	n272120
NONMMUT023283.2	n272135
NONMMUT041854.2	n272159
NONMMUT026279.2	n272168
NA	n272173
NONMMUT022530.2	n272174
NONMMUT055529.2	n272178
NONMMUT035232.2	n272183
NA	n272206
NONMMUT014683.2	n272208
NA	n272216
NA	n272243
NONMMUT019699.2	n272244
NONMMUT060535.2	n272261
NONMMUT037884.2	n272268
NA	n272286
NONMMUT056551.2	n272287
NONMMUT051307.2	n272379
NONMMUT046191.2	n272385
NONMMUT052629.2	n272386
NONMMUT065577.2	n272392
NONMMUT023591.2	n272424
NONMMUT046576.2	n272428
NONMMUT059233.2	n272431
NA	n272441
NA	n272444
NONMMUT024718.2	n272445
NONMMUT033217.2	n272502
NA	n272525
NA	n272533
NONMMUT002890.2	n272535
NONMMUT033789.2	n272546
NONMMUT046832.2	n272569
NONMMUT070825.2	n272576
NONMMUT054437.2	n272581
NONMMUT010444.2	n272587
NONMMUT057662.2	n272632
NONMMUT032673.2	n272656
NONMMUT017212.2	n272668
NONMMUT016431.2	n272675
NONMMUT038887.2	n272679
NONMMUT044227.2	n272692
NONMMUT071881.2	n272708
NONMMUT013279.2	n272767
NONMMUT010670.2	n272768
NA	n272804
NONMMUT026801.2	n272806
NA	n272822
NONMMUT003417.2	n272838
NONMMUT003683.2	n272841
NONMMUT065705.2	n272878
NONMMUT030192.2	n272887
NONMMUT042165.2	n272913
NONMMUT021977.2	n272926
NONMMUT046109.2	n272927
NA	n272937
NA	n272943
NONMMUT019009.2	n272989
NONMMUT018608.2	n272997
NONMMUT041632.2	n272999
NONMMUT029991.2	n273012
NONMMUT053599.2	n273033
NONMMUT044591.2	n273069
NONMMUT001147.2	n273081
NA	n273133
NONMMUT030920.2	n273140
NONMMUT055918.2	n273269
NONMMUT000456.2	n273296
NONMMUT043576.2	n273329
NA	n273416
NA	n273429
NA	n273432
NONMMUT052575.2	n273443
NONMMUT049261.2	n273506
NA	n273508
NONMMUT019413.2	n273513
NONMMUT064747.2	n273529
NONMMUT020421.2	n273547
NONMMUT065398.2	n273558
NONMMUT043064.2	n273613
NA	n273619
NA	n273625
NONMMUT032902.2	n273643
NONMMUT051270.2	n273652
NONMMUT051942.2	n273673
NONMMUT028786.2	n273691
NONMMUT073302.2	n273694
NONMMUT072333.2	n273699
NA	n273702
NONMMUT028316.2	n273704
NONMMUT035374.2	n273709
NONMMUT040633.2	n273711
NONMMUT034096.2	n273720
NONMMUT010837.2	n273731
NONMMUT038915.2	n273737
NONMMUT018854.2	n273739
NONMMUT011831.2	n273783
NONMMUT011582.2	n273794
NONMMUT011020.2	n273834
NONMMUT074065.2	n273836
NONMMUT018658.2	n273857
NONMMUT052932.2	n273923
NONMMUT052162.2	n273938
NONMMUT001683.2	n273946
NA	n273947
NA	n273955
NONMMUT037783.2	n274008
NONMMUT026867.2	n274025
NONMMUT019238.2	n274037
NONMMUT053742.2	n274038
NONMMUT036146.2	n274040
NONMMUT023314.2	n274061
NONMMUT068441.2	n274076
NONMMUT032931.2	n274080
NONMMUT047639.2	n274101
NONMMUT026312.2	n274126
NA	n274129
NONMMUT031430.2	n274171
NONMMUT031359.2	n274205
NONMMUT000406.2	n274221
NONMMUT005932.2	n274238
NONMMUT056003.2	n274266
NONMMUT051303.2	n274274
NA	n274289
NONMMUT063269.2	n274293
NONMMUT073338.2	n274308
NONMMUT002423.2	n274314
NONMMUT041905.2	n274365
NONMMUT014198.2	n274370
NONMMUT032452.2	n274378
NA	n274395
NONMMUT069790.2	n274408
NONMMUT005537.2	n274431
NONMMUT011535.2	n274453
NONMMUT003407.2	n274468
NONMMUT015254.2	n274495
NONMMUT035526.2	n274521
NONMMUT055909.2	n274579
NONMMUT074348.2	n274583
NONMMUT014396.2	n274584
NA	n274612
NONMMUT052208.2	n274625
NA	n274628
NONMMUT070390.2	n274638
NONMMUT065570.2	n274647
NONMMUT020062.2	n274658
NONMMUT058256.2	n274661
NONMMUT062146.2	n274688
NONMMUT031317.2	n274689
NONMMUT000138.2	n274690
NA	n274700
NONMMUT012830.2	n274710
NONMMUT032399.2	n274719
NONMMUT008322.2	n274723
NONMMUT053600.2	n274741
NONMMUT039115.2	n274772
NONMMUT042295.2	n274788
NONMMUT056680.2	n274817
NA	n274837
NONMMUT004648.2	n274841
